study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	read_count	experiment_title	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp
PRJNA335821	SAMN05467952	SRS1597777	SRX1995263	SRR3994196	3363987	Illumina HiSeq 2500 sequencing; vt_sup_h47 Superior Haploid 47 Leaf	vt_sup_h47_07	vt_sup_h47_07_R2.fastq.gz	352390321;347127936	751dcbc87bb3fa9608ce860e7bda402e;16b05012dc1cbd16e08cdee35df5bae3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994196/SRR3994196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3994196/SRR3994196_2.fastq.gz
PRJNA335821	SAMN05467952	SRS1597777	SRX1995264	SRR3994197	3355165	Illumina HiSeq 2500 sequencing; vt_sup_h47 Superior Haploid 47 Leaf	vt_sup_h47_08	vt_sup_h47_08_R1.fastq.gz	344295800;350524409	b3e10915becc6088ed338f9b88e0b064;28abe92f9b9a19b075fecc7fd544a237	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994197/SRR3994197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3994197/SRR3994197_2.fastq.gz
PRJNA335821	SAMN05467953	SRS1597778	SRX1995265	SRR3994198	1400399	Illumina HiSeq 2500 sequencing; vt_sup_h48 Superior Haploid 48 Leaf	vt_sup_h48_05	vt_sup_h48_05_R1.fastq.gz	152298255;156198048	1247e02d42942273c3a6fafc6bbf5161;94a5a7e7258dc59132581c5de8ee2c38	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994198/SRR3994198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3994198/SRR3994198_2.fastq.gz
PRJNA335821	SAMN05467960	SRS1597779	SRX1995266	SRR3994199	3124377	Illumina HiSeq 2500 sequencing; vt_sup_h54 Superior Haploid 54 Leaf	vt_sup_h54_11	vt_sup_h54_11_R2.fastq.gz	327409770;320980927	290b1d0337f2c3a3b905b6337ed98f2a;89942a1d7c78c2f7dddd80c1a1b5ea03	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994199/SRR3994199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3994199/SRR3994199_2.fastq.gz
PRJNA335821	SAMN05467960	SRS1597779	SRX1995267	SRR3994200	3140835	Illumina HiSeq 2500 sequencing; vt_sup_h54 Superior Haploid 54 Leaf	vt_sup_h54_12	vt_sup_h54_12_R2.fastq.gz	328574373;320683461	1029c14ea8dbc22a26149cc6505f097b;a766ec2b68d83f816b44c0929dbacfd2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994200/SRR3994200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3994200/SRR3994200_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995268	SRR3994201	916685	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_01	vt_sup_h55_01_R1.fastq.gz	105635747;98991857	a8569ac6b15e5d168a3c2e89806368f3;c0c1ab1c96a8fb49c7cea457c91208ed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994201/SRR3994201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3994201/SRR3994201_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995269	SRR3994202	1226575	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_02	vt_sup_h55_02_R2.fastq.gz	137719411;132398832	ac948c8ebc791617342d869f0ab13e6e;a4c3cb8ccff415daace87fe0bef8857c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994202/SRR3994202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/002/SRR3994202/SRR3994202_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995270	SRR3994203	1225734	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_03	vt_sup_h55_03_R1.fastq.gz	133392081;136921240	1e98ae6feea3e4af99aa2528fa12a4c8;39fb2aef8a2b59b790275c87b4a9eed4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994203/SRR3994203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/003/SRR3994203/SRR3994203_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995271	SRR3994204	1234961	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_04	vt_sup_h55_04_R1.fastq.gz	134068613;138087700	9f5738efce164743a99bfa2e93b6b322;2f17d2937d6acd64e16ea40822cc9684	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994204/SRR3994204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3994204/SRR3994204_2.fastq.gz
PRJNA335821	SAMN05467961	SRS1597780	SRX1995272	SRR3994205	1247858	Illumina HiSeq 2500 sequencing; vt_sup_h55 Superior Haploid 55 Leaf	vt_sup_h55_05	vt_sup_h55_05_R1.fastq.gz	135690035;139904087	f35947ea80ef35e938cb495f82de5acb;1c98404d18d90d4531ff2c5e12589bed	ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994205/SRR3994205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3994205/SRR3994205_2.fastq.gz
